Anio;Mes;GasolinaSuper;GasolinaRegular;Diesel;Fechas;Super_Arima;Regular_Arima;Diesel_Arima;Super_SARIMAX;Regular_SARIMAX;Diesel_SARIMAX;Super_EXP;Regular_EXP;Diesel_EXP
2008;7;384549.7;232129.2;541486.15;1/07/2008;384549.7;232129.2;541486.15;384549.699999999;232129.2;541486.15;384549.699999999;232129.2;541486.15
2008;8;241881.47;138376.72;713650.52;1/08/2008;241881.47;138376.72;713650.52;241881.469999999;138376.719999999;713650.519999999;241881.469999999;138376.719999999;713650.519999999
2008;9;423244.17;290621.26;544521.54;1/09/2008;423244.17;290621.26;544521.54;423244.17;290621.26;544521.54;423244.17;290621.26;544521.54
2008;10;329762.3;358036.44;344273.02;1/10/2008;329762.3;358036.44;344273.02;329762.3;358036.44;344273.02;329762.3;358036.44;344273.02
2008;11;386365.05;170365.32;809439.42;1/11/2008;386365.05;170365.32;809439.42;386365.049999999;170365.32;809439.42;386365.049999999;170365.32;809439.42
2008;12;458949.42;238398.92;524038.42;1/12/2008;458949.42;238398.92;524038.42;458949.419999999;238398.92;524038.42;458949.419999999;238398.92;524038.42
2009;1;382300.56;202484.53;941535.71;1/01/2009;382300.56;202484.53;941535.71;382300.56;202484.53;941535.709999999;382300.56;202484.53;941535.709999999
2009;2;522820.81;588346.36;914059.399999999;1/02/2009;522820.81;588346.36;914059.399999999;522820.809999999;588346.36;914059.399999999;522820.809999999;588346.36;914059.399999999
2009;3;626630.99;298459.25;893473.8;1/03/2009;626630.99;298459.25;893473.8;626630.99;298459.25;893473.8;626630.99;298459.25;893473.8
2009;4;348267.66;182218.96;816840.019999999;1/04/2009;348267.66;182218.96;816840.019999999;348267.66;182218.959999999;816840.019999999;348267.66;182218.959999999;816840.019999999
2009;5;341700.48;377337.48;621339.93;1/05/2009;341700.48;377337.48;621339.93;341700.48;377337.479999999;621339.929999999;341700.48;377337.479999999;621339.929999999
2009;6;589337.79;363676.29;735260.509999999;1/06/2009;589337.79;363676.29;735260.509999999;589337.789999999;363676.289999999;735260.509999999;589337.789999999;363676.289999999;735260.509999999
2009;7;337172.65;363911.51;850806.89;1/07/2009;337172.65;363911.51;850806.89;337172.649999999;363911.51;850806.889999999;337172.649999999;363911.51;850806.889999999
2009;8;476525.36;210495.68;842742.170000001;1/08/2009;476525.36;210495.68;842742.170000001;476525.359999999;210495.68;842742.17;476525.359999999;210495.68;842742.17
2009;9;321728.95;161783.68;611966.22;1/09/2009;321728.95;161783.68;611966.22;321728.949999999;161783.679999999;611966.22;321728.949999999;161783.679999999;611966.22
2009;10;639524.61;375067.23;869366.31;1/10/2009;639524.61;375067.23;869366.31;639524.609999999;375067.229999999;869366.31;639524.609999999;375067.229999999;869366.31
2009;11;321859.44;201213.1;894309.88;1/11/2009;321859.44;201213.1;894309.88;321859.44;201213.1;894309.88;321859.44;201213.1;894309.88
2009;12;435416.18;291525.48;1144960.66;1/12/2009;435416.18;291525.48;1144960.66;435416.18;291525.48;1144960.65999999;435416.18;291525.48;1144960.65999999
2010;1;318949.72;173918.35;905803.65;1/01/2010;318949.72;173918.35;905803.65;318949.719999999;173918.35;905803.65;318949.719999999;173918.35;905803.65
2010;2;492452.55;336005.72;447271.92;1/02/2010;492452.55;336005.72;447271.92;492452.55;336005.719999999;447271.92;492452.55;336005.719999999;447271.92
2010;3;303762.94;157798.77;947702.88;1/03/2010;303762.94;157798.77;947702.88;303762.94;157798.77;947702.88;303762.94;157798.77;947702.88
2010;4;562996.07;433108.23;613011.21;1/04/2010;562996.07;433108.23;613011.21;562996.07;433108.23;613011.21;562996.07;433108.23;613011.21
2010;5;429729.38;279926.95;1086036.16;1/05/2010;429729.38;279926.95;1086036.16;429729.38;279926.949999999;1086036.16;429729.38;279926.949999999;1086036.16
2010;6;464310.8;281834.46;587828.26;1/06/2010;464310.8;281834.46;587828.26;464310.799999999;281834.46;587828.259999999;464310.799999999;281834.46;587828.259999999
2010;7;456588.39;241994.24;712889.930000001;1/07/2010;456588.39;241994.24;712889.930000001;456588.39;241994.239999999;712889.93;456588.39;241994.239999999;712889.93
2010;8;475714.12;282509.24;637252.29;1/08/2010;475714.12;282509.24;637252.29;475714.12;282509.239999999;637252.29;475714.12;282509.239999999;637252.29
2010;9;321134.56;208796.02;741721.42;1/09/2010;321134.56;208796.02;741721.42;321134.56;208796.019999999;741721.42;321134.56;208796.019999999;741721.42
2010;10;493794.29;392100.62;630692.56;1/10/2010;493794.29;392100.62;630692.56;493794.29;392100.62;630692.559999999;493794.29;392100.62;630692.559999999
2010;11;241062.76;139547.73;565627.540000001;1/11/2010;241062.76;139547.73;565627.540000001;241062.759999999;139547.73;565627.54;241062.759999999;139547.73;565627.54
2010;12;652210.77;430857.95;1135293.92;1/12/2010;652210.77;430857.95;1135293.92;652210.77;430857.949999999;1135293.92;652210.77;430857.949999999;1135293.92
